,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
62,Cl-Ge,1,4.929740585270976,4.929740585270976,,4.929740585270976,4.929740585270976,0.0,4.929740585270976,4.929740585270976,0.0
63,Cl-Hf,3,1.9336486992672262,1.9263403681359859,0.1543377562988495,1.783094939480677,2.0915107901850156,0.30841585070433863,1.8547176538083314,2.0089255791605005,0.1542079253521691
64,Cl-Hg,2,4.403988679977388,4.403988679977388,0.30250310060348873,4.190086686210705,4.617890673744072,0.427803987533367,4.297037683094047,4.510939676860731,0.21390199376668395
65,Cl-I,3,1.6366611961013982,1.7441550357160858,0.2207679598133913,1.3827336131074317,1.783094939480677,0.4003613263732453,1.5634443244117588,1.7636249875983814,0.20018066318662253
66,Cl-Mg,2,8.904251600572918,8.904251600572918,0.9818994403088322,8.209943847887267,9.598559353258569,1.3886155053713019,8.557097724230093,9.251405476915743,0.6943077526856491
67,Cl-Mn,1,5.398439495142499,5.398439495142499,,5.398439495142499,5.398439495142499,0.0,5.398439495142499,5.398439495142499,0.0
68,Cl-Ni,1,3.4131438078128324,3.4131438078128324,,3.4131438078128324,3.4131438078128324,0.0,3.4131438078128324,3.4131438078128324,0.0
69,Cl-Os,1,2.881204377402753,2.881204377402753,,2.881204377402753,2.881204377402753,0.0,2.881204377402753,2.881204377402753,0.0
70,Cl-Pb,2,5.088442583135312,5.088442583135312,0.22691333120139132,4.927990627901179,5.248894538369445,0.3209039104682656,5.008216605518246,5.168668560752378,0.16045195523413192
71,Cl-Pd,1,2.5115507171848623,2.5115507171848623,,2.5115507171848623,2.5115507171848623,0.0,2.5115507171848623,2.5115507171848623,0.0
72,Cl-Pt,1,2.3695563076668535,2.3695563076668535,,2.3695563076668535,2.3695563076668535,0.0,2.3695563076668535,2.3695563076668535,0.0
73,Cl-Ru,2,1.9578013887208439,1.9578013887208439,0.9426676834126589,1.2912346773743393,2.6243681000673487,1.3331334226930094,1.6245180330475917,2.2910847443940963,0.6665667113465046
74,Cl-S,6,2.8043243543629663,2.863810234918592,0.18478709783385402,2.5273674606070293,2.9797205647901945,0.4523531041831652,2.6810709339752323,2.944262406691606,0.26319147271637355
75,Cl-Sb,6,2.597361356640542,2.5235095527473215,0.25956055512222714,2.3503167851553193,2.9479754072600457,0.5976586221047264,2.3877639514324915,2.803133456391101,0.41536950495860925
76,Cl-Se,6,2.5764370194844055,2.5862036760940983,0.2493497421721035,2.2022777939165263,2.856423867293686,0.6541460733771598,2.4429637099443564,2.770772955733711,0.32780924578935444
