formula,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B
YBr2,3,-13.046738937550526,187,0,78,1,0,3.72095513932486,3.475662321264272,1.0268068953722009e-09,-4.641035546486976e-15,1,3.1408766409147613,3.1408766409147644,0.387533165463212,1.256598765799185,4.397475406713946,1.2294242473224302,4.370300888237194,0.02913002077253911,0.4166631862357511,1.8501709653498357,1.2318331770002637,1,1,0.11930512653179903,0.1193209545249374,0.016448334704337302,-1.7286898543230143,0,,16.987211614093667,-0.08337715181975607,0.0,0.5,6.0,0,0.0,0.0,,,1.5740919111649525,-4.460110630774912,-2.886018719609959,-3.673064675192436,0.5363344785011301
SnSe2,3,-12.064124266519803,164,1,72,0,0,3.1858620391484713,3.6310476254814734,-3.9095469804384533e-14,-2.8757665412334314e-15,1,4.615334773911817,4.615334773911819,0.40568882080741264,5.021114788969605,9.636449562881422,4.9553882960063085,9.570723069918127,0.012224215044097684,0.41791303585151035,0.4020372065809728,0.4885255177729326,0,2,0.0,0.0,0.0,-0.3474164432017138,0,,,,,,,0,0.0,0.0,,,1.9121600644033614,-6.883779353499887,-4.971619289096525,-5.927699321298206,0.7120750058207397
PdSe2,3,-11.579910747230102,164,1,72,0,0,2.6261168079604875,3.523316963284838,2.167762296212163e-09,-2.206651429083318e-15,1,10.799209702920122,10.799209702920116,0.387385911737054,0.7172923747402524,11.516502077660373,0.7216850520703182,11.520894754990435,1.2147673041267794e-06,0.38738712650435814,0.2647081336974254,0.7087034286016791,0,2,0.0,0.0,0.025946697146483972,-0.26475788320032834,0,,,,,,,0,0.0,0.0,,,1.614912444190729,-5.999824305455475,-4.384911861264746,-5.192368083360111,0.39753628365212884
ZrBr2,3,-14.590325573316,187,0,78,1,0,3.6523848530272502,3.8685777341697216,8.296513921495208e-11,-3.816864263418006e-15,1,5.871087788266393,5.871087788266395,0.40342427593556723,0.1113385767067245,5.982426364973117,0.11047129222781371,5.981559080494209,0.006927029151721718,0.41035130508728895,0.8899701331116129,0.41109447987347075,0,2,0.0,0.0,0.00013837169266217586,-1.3393983584588014,0,,,,,,,0,0.0,0.0,,,1.7369705379957243,-4.043183680716084,-2.3062131427203596,-3.2457414503991795,0.8274188362337275
TiCl2,3,-14.870900157417552,187,0,78,1,0,3.1717191271673704,3.7483475011883467,-4.45337486270682e-08,-1.6728969493398535e-14,1,6.559651967334227,6.559651967334227,0.3418357565781361,0.07599234678183628,6.635644314116063,0.07641297856999629,6.636064945904223,0.009521176088449056,0.35135693266658513,1.991934466611133,0.6102887354225364,0,2,0.0,0.0,0.006991561621454719,-1.5369877423225553,0,,,,,,,0,0.0,0.0,,,1.6364286912586663,-4.250054859750134,-2.613626168491467,-3.4866470483264913,0.8258007325827961
TiS2,3,-18.339142142683514,187,0,78,1,0,3.020062221279696,3.8981069388559506,-3.4905032669585777e-10,-0.49084983478025895,0,5.098616873293955,5.098616873293951,0.36638927140424565,,,,,,,1.3209882553144543,1.3296013616506033,0,2,0.0,0.0,0.14464032229737475,-1.1644198134541348,0,,,,,,,0,0.0,0.0,,,2.207554722720058,-7.487918071190295,-5.280363348470237,-6.4870821941226176,0.9768689885650591
MoTe2,3,-18.51337752553299,187,0,78,1,0,3.610199999999999,4.754314333784807,-3.266615155484621e-14,2.5924296586317076e-15,1,9.468330635573816,9.468330635573825,0.46700584531721523,1.032273439662999,10.500604075236815,1.035044950538576,10.503375586112401,0.003509653058365255,0.4705154983755805,0.4720107813973335,0.5794869918760435,0,2,0.0,0.0,7.401486830834377e-17,-0.3005233594690064,0,,,,,,,0,0.0,0.0,,,1.5626285814924223,-4.719767459126061,-3.1571388776336384,-3.9384531683798496,0.4550100661227572
ZrSe2,3,-18.470336634042514,164,1,72,0,0,3.1612106102641775,3.81934088950746,4.760918235733672e-14,-7.66445935073825e-14,1,6.558340890361878,6.55834089036188,0.3845394780347303,31.216543281281727,37.774884171643606,31.251367825284706,37.809708715646586,0.01846670077152209,0.4030061788062524,0.6115361673788087,0.19765485648017606,0,2,0.0,0.0,0.0,-1.3672498309035443,0,,,,,,,0,0.0,0.0,,,1.69120135549301,-6.310489008648394,-4.619287653155383,-5.464888330901888,0.3813052403153976
ZrSe2,3,-18.038214523460404,187,0,78,1,0,3.3731489229096248,4.022589087646057,-5.3798802606036594e-14,-0.2535811656027932,0,4.843985396250304,4.843985396250302,0.40812532279515096,,,,,,,0.9311234152211327,0.9981212607088863,0,2,0.0,0.0,0.14404070352737008,-1.2232091273761743,0,,,,,,,0,0.0,0.0,,,2.182697769346658,-7.239333072952976,-5.056635303606319,-6.172338895006853,0.9193978986442418
HfBr2,3,-14.145216237427833,187,0,78,1,0,3.6973960898101064,3.985772779543784,1.1701044934609577e-08,-4.009373781942416e-15,1,5.194538761066577,5.194538761066575,0.40416044550943553,0.26409745997829304,5.458636221044871,0.2637648407832293,5.458303601849804,0.007316915623109532,0.41147736113254507,0.7137049570562735,0.34997981303574577,0,2,0.0,0.0,0.006619349294049688,-1.156654875069502,0,,,,,,,0,0.0,0.0,,,1.7592052825955982,-3.983873156609627,-2.224667874014029,-3.162904291428587,0.8083211625734403
